country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","14-04-2026 18:00:00",16.486692,80.699436,PM2.5,54,92,63
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","14-04-2026 18:00:00",16.486692,80.699436,NO2,24,35,28
India,Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB","14-04-2026 18:00:00",16.486692,80.699436,CO,40,51,45
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","14-04-2026 18:00:00",16.509717,80.612222,PM2.5,42,75,57
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","14-04-2026 18:00:00",16.509717,80.612222,OZONE,8,8,8
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","14-04-2026 18:00:00",16.554731,80.649110,PM2.5,54,68,60
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","14-04-2026 18:00:00",16.554731,80.649110,NH3,4,5,4
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","14-04-2026 18:00:00",16.5150833,80.5181667,PM10,16,96,50
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","14-04-2026 18:00:00",16.5150833,80.5181667,CO,11,18,13
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-04-2026 18:00:00",14.675886,77.593027,NH3,4,5,5
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","14-04-2026 18:00:00",14.675886,77.593027,OZONE,30,41,38
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","14-04-2026 18:00:00","14.438164 ","79.966814 ",PM2.5,25,63,35
India,Andhra_Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB ","14-04-2026 18:00:00","14.438164 ","79.966814 ",OZONE,2,48,34
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","14-04-2026 18:00:00",16.9872867,81.7363176,CO,18,34,28
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","14-04-2026 18:00:00",13.615387,79.409230,SO2,8,16,10
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","14-04-2026 18:00:00",16.536107,80.594233,PM10,57,433,103
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","14-04-2026 18:00:00",16.536107,80.594233,NH3,4,5,4
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","14-04-2026 18:00:00",16.316553,80.413302,NO2,5,21,14
India,Andhra_Pradesh,Guntur,"Rajendra Nagar North, Guntur - APPCB","14-04-2026 18:00:00",16.316553,80.413302,CO,12,31,24
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","14-04-2026 18:00:00",14.465052,78.824187,NO2,23,31,26
India,Assam,Guwahati,"IITG, Guwahati - PCBA","14-04-2026 18:00:00",26.2028636,91.70046436,PM10,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","14-04-2026 18:00:00",26.2028636,91.70046436,NO2,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","14-04-2026 18:00:00",26.2028636,91.70046436,SO2,NA,NA,NA
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","14-04-2026 18:00:00",26.10887,91.589544,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-04-2026 18:00:00",17.72,83.3,PM10,59,216,109
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-04-2026 18:00:00",17.72,83.3,SO2,2,108,46
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","14-04-2026 18:00:00",17.72,83.3,OZONE,4,31,21
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2026 18:00:00",26.071318,91.87488,NH3,3,5,4
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","14-04-2026 18:00:00",26.071318,91.87488,CO,3,114,67
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-04-2026 18:00:00",13.204880,79.097889,PM10,42,77,54
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB","14-04-2026 18:00:00",13.204880,79.097889,CO,8,22,15
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","14-04-2026 18:00:00",26.11442,85.39813,OZONE,12,115,93
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2026 18:00:00",26.1403345,85.3650192,PM2.5,53,88,63
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2026 18:00:00",26.1403345,85.3650192,PM10,53,70,59
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2026 18:00:00",26.1403345,85.3650192,NH3,2,3,3
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2026 18:00:00",26.1403345,85.3650192,SO2,3,21,12
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2026 18:00:00",26.1403345,85.3650192,OZONE,10,63,48
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","14-04-2026 18:00:00",26.1209,85.3647,SO2,4,9,6
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","14-04-2026 18:00:00",25.586562,85.043586,PM2.5,34,325,118
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","14-04-2026 18:00:00",25.586562,85.043586,PM10,101,212,142
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","14-04-2026 18:00:00",25.586562,85.043586,NH3,8,9,8
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","14-04-2026 18:00:00",25.592539,85.227158,CO,2,136,22
India,Bihar,Patna,"Muradpur, Patna - BSPCB","14-04-2026 18:00:00",25.619651,85.147382,PM10,100,191,145
India,Bihar,Patna,"Muradpur, Patna - BSPCB","14-04-2026 18:00:00",25.619651,85.147382,OZONE,15,93,77
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","14-04-2026 18:00:00",25.599486,85.113666,NO2,25,33,31
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","14-04-2026 18:00:00",25.599486,85.113666,CO,24,105,51
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-04-2026 18:00:00",25.366336,87.117468,PM10,52,74,61
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","14-04-2026 18:00:00",25.366336,87.117468,OZONE,14,45,27
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","14-04-2026 18:00:00",25.03280,85.41948,PM10,24,71,45
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB","14-04-2026 18:00:00",25.03280,85.41948,SO2,2,3,3
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-04-2026 18:00:00",25.892357,86.590325,PM2.5,34,180,77
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-04-2026 18:00:00",25.892357,86.590325,NH3,4,4,4
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","14-04-2026 18:00:00",25.892357,86.590325,SO2,15,17,16
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","14-04-2026 18:00:00",25.859655,85.77944,OZONE,7,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-04-2026 18:00:00",24.952822,84.002396,NO2,2,10,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-04-2026 18:00:00",24.952822,84.002396,CO,46,101,64
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","14-04-2026 18:00:00",24.952822,84.002396,OZONE,15,42,22
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","14-04-2026 18:00:00",26.2271665,84.3570427,OZONE,12,16,14
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","14-04-2026 18:00:00",30.735567,76.775714,SO2,6,19,11
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","14-04-2026 18:00:00",30.751462,76.762879,PM10,NA,NA,NA
